opt_segment,RMR_MODEL_LOGIN_1_model_score1,login22_score,datatype,goods_actioned,prevention_rate,accuracy,objf
LS_0120_pw_good_AA,,110,1,0.006360272,0.109183673,0.021263911,0.033323027
LS_0120_pw_good_AA,,115,1,0.006049038,0.107142857,0.021925245,0.033373911
LS_0120_pw_good_AA,,120,1,0.00574297,0.1,0.021562156,0.0317887
LS_0120_pw_good_AA,,125,1,0.005482102,0.096938776,0.021889401,0.031424975
LS_0120_pw_good_AA,,130,1,0.005213486,0.093877551,0.022281424,0.031101668
LS_0120_pw_good_AA,,135,1,0.004997817,0.090816327,0.022480424,0.030651956
LS_0120_pw_good_AA,,140,1,0.004764069,0.089795918,0.023298914,0.030985718
LS_0120_pw_good_AA,,145,1,0.004560024,0.085714286,0.023236515,0.030172761
LS_0120_pw_good_AA,,150,1,0.004361145,0.084693878,0.023988439,0.03045961
LS_0120_pw_good_AA,,155,1,0.004175179,0.081632653,0.024147299,0.029979874
LS_0120_pw_good_AA,,160,1,0.004007294,0.080612245,0.024827153,0.030217282
LS_0120_pw_good_AA,,165,1,0.003860071,0.079591837,0.025432018,0.030405564
LS_0120_pw_good_AA,,170,1,0.00367798,0.078571429,0.026324786,0.030773561
LS_0120_pw_good_AA,,175,1,0.003513969,0.076530612,0.026824034,0.030697749
LS_0120_pw_good_AA,,180,1,0.00336029,0.076530612,0.028016436,0.031443926
LS_0120_pw_good_AA,,185,1,0.003228564,0.076530612,0.029126214,0.032136138
LS_0120_pw_good_XO,55,,1,0.000309552,0.018348624,0.08,0.051607814
LS_0120_pw_good_XO,60,,1,0.000269175,0.018348624,0.090909091,0.058161344
LS_0120_pw_good_XO,65,,1,0.000255717,0.018348624,0.095238095,0.060761439
LS_0120_pw_good_XO,70,,1,0.000242258,0.018348624,0.1,0.063621273
LS_0120_pw_good_XO,75,,1,0.00021534,0.018348624,0.111111111,0.070293323
LS_0120_pw_good_XO,80,,1,0.000174964,0.018348624,0.133333333,0.083634732
LS_0120_pw_good_XO,90,,1,0.000161505,0.018348624,0.142857143,0.089351709
LS_0120_pw_good_XO,95,,1,0.000134588,0.018348624,0.166666667,0.103642807
LS_0120_pw_good_XO,100,,1,0.000121129,0.018348624,0.181818182,0.112736408
LS_0120_pw_good_XO,115,,1,9.42E-05,0.018348624,0.222222222,0.136984216
LS_0120_pw_good_XO,125,,1,6.73E-05,0.018348624,0.285714286,0.175084837
LS_0120_pw_good_XO,145,,1,2.69E-05,0.018348624,0.5,0.303664341
LS_0120_pw_good_XO,,150,1,0.000444139,0.027522936,0.083333333,0.055415759
LS_0120_pw_good_XO,,155,1,0.000417222,0.027522936,0.088235294,0.058362319
LS_0120_pw_good_XO,,185,1,0.000296093,0.018348624,0.083333333,0.053610506
LS_0120_pw_good_XO,,195,1,0.000282634,0.018348624,0.086956522,0.055787111
LS_0120_pw_good_XO,,225,1,0.000255717,0.018348624,0.095238095,0.060761439
LS_0120_pw_gray_AA,665,,1,0.000594601,0.041854253,0.78629828,0.480030898
LS_0120_pw_gray_AA,670,,1,0.000566754,0.041133922,0.791395987,0.482951026
LS_0120_pw_gray_AA,675,,1,0.000545966,0.040158473,0.793594306,0.484079085
LS_0120_pw_gray_AA,680,,1,0.000518904,0.039318086,0.798415359,0.486809052
LS_0120_pw_gray_AA,685,,1,0.000493802,0.038455189,0.802788221,0.48926521
LS_0120_pw_gray_AA,690,,1,0.000468307,0.03767483,0.807884151,0.492171795
LS_0120_pw_gray_AA,695,,1,0.000441244,0.037007023,0.814264487,0.495871848
LS_0120_pw_gray_AA,700,,1,0.00041928,0.036406747,0.819456173,0.498871197
LS_0120_pw_gray_AA,705,,1,0.000401631,0.035656402,0.822714681,0.500679763
LS_0120_pw_gray_AA,710,,1,0.000380843,0.034996098,0.827684117,0.503533521
LS_0120_pw_gray_AA,715,,1,0.000361624,0.034298277,0.832150009,0.506077336
LS_0120_pw_gray_AA,720,,1,0.000344759,0.033833063,0.836859688,0.508813474
LS_0120_pw_gray_AA,725,,1,0.000320834,0.033210277,0.844012204,0.512985211
LS_0120_pw_gray_AA,730,,1,0.000306322,0.032730056,0.848143107,0.515370611
LS_0120_pw_gray_AA,735,,1,0.000291025,0.032219821,0.852660842,0.517982264
LS_0120_pw_gray_AA,740,,1,0.000272983,0.031702083,0.858565332,0.521425019
LS_0120_pw_gray_AA,745,,1,0.000257295,0.031071793,0.863247863,0.524111618
LS_0120_pw_gray_AA,750,,1,0.000244351,0.03067411,0.867756315,0.526739741
LS_0120_pw_gray_AA,755,,1,0.000227486,0.030253917,0.87424111,0.530549952
LS_0120_pw_gray_AA,760,,1,0.000213758,0.029863737,0.879558011,0.533664802
LS_0120_pw_gray_AA,765,,1,0.0002016,0.029398523,0.884025271,0.536254547
LS_0120_pw_gray_AA,770,,1,0.000190618,0.029090882,0.888608755,0.538945306
LS_0120_pw_gray_AA,775,,1,0.000179243,0.028805751,0.893621974,0.541898486
LS_0120_pw_gray_AA,780,,1,0.000165516,0.028528123,0.900094697,0.54572934
LS_0120_pw_gray_AA,785,,1,0.00015218,0.028182964,0.906370656,0.549428551
LS_0120_pw_gray_AA,790,,1,0.000142375,0.027995378,0.911333659,0.552370796
LS_0120_pw_gray_AA,795,,1,0.000130608,0.027732757,0.917349218,0.555929961
LS_0120_pw_gray_AA,800,,1,0.000119234,0.027515157,0.923444976,0.55954617
LS_0120_pw_gray_AA,805,,1,0.000105114,0.027312564,0.931422723,0.564295123
